City,month,PM2.5,PM10,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,NH3,AQI
Hyderabad,2017-04-01,58.174,168.06633333333332,10.810333333333334,38.18,11.678333333333335,0.16666666666666666,17.263666666666666,46.233666666666664,0.17366666666666666,1.37,26.408666666666665,148.16666666666666
Hyderabad,2017-05-01,35.24166666666667,102.39066666666666,5.519333333333334,40.81333333333334,11.710666666666667,0.11266666666666666,7.883666666666667,47.48833333333334,0.06533333333333333,0.7763333333333333,27.25433333333333,113.7
Hyderabad,2017-06-01,11.635333333333334,34.26933333333333,7.790666666666667,15.957333333333334,7.310333333333333,0.12833333333333333,4.643,41.12866666666666,0.05333333333333334,0.7260000000000001,9.836333333333332,74.13333333333334
Hyderabad,2017-07-01,13.648064516129033,44.635161290322586,7.023548387096774,13.224516129032258,6.561290322580645,0.16096774193548388,5.7625806451612895,29.429354838709674,0.15580645161290324,1.2964516129032257,6.131935483870968,61.58064516129032
Hyderabad,2017-08-01,16.483548387096775,44.512903225806454,8.056451612903226,14.26032258064516,7.250967741935484,0.18774193548387097,5.788387096774193,29.964193548387097,0.4435483870967742,2.681935483870968,6.582580645161291,64.41935483870968
Hyderabad,2017-09-01,24.609666666666666,52.31433333333334,8.745333333333333,16.205333333333332,8.380666666666666,0.08966666666666666,5.539666666666666,33.721666666666664,0.2853333333333333,2.5933333333333333,6.094666666666667,68.8
Hyderabad,2017-10-01,47.32375,82.06875000000001,11.59375,24.008333333333336,7.347083333333333,0.23458333333333334,6.92875,53.92041666666666,1.2754166666666666,6.870833333333334,11.452083333333334,124.25
Hyderabad,2017-11-01,56.208333333333336,103.92833333333333,9.655333333333335,39.549,27.465,0.7476666666666667,15.488666666666667,51.89833333333333,4.6193333333333335,25.255,15.698,120.36666666666666
Hyderabad,2017-12-01,72.11677419354838,134.46580645161288,8.751935483870968,49.89741935483871,33.26483870967742,0.9403225806451613,14.443548387096774,50.703548387096774,4.144516129032258,21.265483870967742,17.488387096774193,143.74193548387098
Hyderabad,2018-01-01,68.94258064516129,144.85387096774195,8.598064516129034,53.53322580645161,35.01032258064516,0.9596774193548387,13.38774193548387,49.05,3.7125806451612906,23.160967741935483,23.57032258064516,143.09677419354838
Hyderabad,2018-02-01,50.582142857142856,115.05214285714285,10.553571428571429,51.73464285714285,35.40785714285714,0.8571428571428571,11.14857142857143,42.78357142857143,2.6042857142857145,17.158571428571427,24.627499999999998,112.35714285714286
Hyderabad,2018-03-01,53.670967741935485,115.53645161290324,5.534193548387097,45.59032258064516,28.521290322580644,0.8661290322580646,8.981290322580646,46.42774193548387,1.696774193548387,8.412903225806453,20.848064516129032,113.06451612903226
Hyderabad,2018-04-01,38.266666666666666,91.042,5.683666666666666,37.669333333333334,24.351,0.6980000000000001,6.956,43.41,1.213,5.792333333333334,16.102666666666668,96.26666666666667
Hyderabad,2018-05-01,35.61774193548387,90.72838709677418,3.205483870967742,30.978387096774195,18.940645161290323,0.6987096774193549,6.449999999999999,49.40903225806452,0.897741935483871,4.870645161290323,13.850645161290323,98.74193548387096
Hyderabad,2018-06-01,23.077333333333335,54.568666666666665,3.303,24.052333333333333,15.276333333333334,0.516,7.0520000000000005,28.230666666666664,0.5166666666666667,3.926,14.941333333333334,65.6
Hyderabad,2018-07-01,17.074193548387097,45.04096774193548,4.81258064516129,23.35451612903226,15.970967741935485,0.2870967741935484,6.590322580645162,17.82709677419355,0.5851612903225807,4.226774193548387,15.395806451612902,54.25806451612903
Hyderabad,2018-08-01,17.59935483870968,50.25064516129032,6.161290322580645,24.073548387096775,17.143225806451614,0.29967741935483866,7.220967741935484,14.169677419354839,0.8338709677419355,5.6893548387096775,15.63225806451613,54.096774193548384
Hyderabad,2018-09-01,36.35066666666667,78.84666666666666,7.9590000000000005,30.920666666666666,22.341,0.4723333333333333,7.33,21.05933333333333,2.133,19.69,15.504,79.03333333333333
Hyderabad,2018-10-01,54.57677419354838,118.45290322580645,7.289677419354839,42.163225806451614,27.793225806451613,0.5551612903225807,9.481612903225807,27.759354838709676,3.6022580645161293,32.85193548387097,13.974838709677421,110.06451612903226
Hyderabad,2018-11-01,54.43833333333334,118.271,6.785,45.54766666666667,29.025666666666666,0.6053333333333334,13.113,33.437333333333335,3.48,26.797666666666668,10.446666666666665,110.96666666666667
Hyderabad,2018-12-01,67.40870967741935,125.44096774193548,5.549677419354839,41.53741935483871,25.942903225806454,0.6619354838709677,9.914193548387097,34.85322580645161,2.98258064516129,21.713870967741936,12.03032258064516,133.32258064516128
Hyderabad,2019-01-01,67.6183870967742,133.09935483870967,7.358387096774194,48.29806451612903,31.047096774193548,0.716774193548387,10.35741935483871,32.395161290322584,3.1390322580645162,21.606451612903225,18.929354838709674,133.29032258064515
Hyderabad,2019-02-01,55.47714285714286,119.05428571428571,4.664285714285714,43.21714285714285,26.415357142857143,0.6042857142857143,7.83,31.826071428571428,2.0603571428571428,14.82392857142857,16.1675,113.25
